TIC ID,CTOI,Promoted to TOI,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Radius (R_Earth),Radius (R_Earth) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,cTOI author,period_PHT,period err neg,period err pos,depth_PHT,planet_radius
415399713,415399713,,10.3965,0.006,62.853108,10.277208,37.12,0.153,-11.347,0.082,2459176.65,0.01,,,7.7,0.724,0.163,667,150,2.6,0.5,144.866,1.04,5862,293.678,4.53012,0.0921919,0.92603,0.0459422,PHT,185,89.8,314.2,1823.470088,2.61
418255064,418255064,,11.6157,0.006,196.653058,-80.617002,-15.547,0.052,24.202,0.049,2458629.34,0.02,0,,6.3,6.534,0.543,6000,500,,,156.348,0.635,5342,117.665,4.71456,0.0814719,0.697666,0.0356532,PHT,25.37,7.06,15.41,6160.431843,5.57
420645189,420645189,1897.01,10.1374,0.006,48.370422,75.268379,48.29,0.042,14.617,0.056,2458837.474,,0,,6,0.543,0.109,500,100,7.5,2,158.493,0.8355,5937,142.24,4.44855,0.0775541,1.02867,0.0474372,PHT,250.2,66.6,99.4,5094.8019,8.82
422914082,422914082,4317.01,10.0121,0.006,38.31042,1.69093,397.201,0.077,-2.532,0.083,2458431.56,0.02,0,,4,2.174,0.543,2000,500,3.5,1,67.368,0.21765,4354.29,103.046,4.39555,0.0872734,0.865987,0.0620603,PHT,12.91,3.91,8.97,1920.340614,3.96
423785115,423785115,,11.2457,0.006,70.919714,-26.650255,-9.3,2.6,1.1,2.3,2459197.003,0.001,74.2,0.1,4.9,20.827,14.207,19000,13000,9.6,1,264.855,,5978.6,,,,0.640764,,PHT,74.20612,0.00024,0.17726,1823.470088,9.62
427344083,427344083,,12.5967,0.014,344.15064,70.681074,14.783,0.025,8.398,0.026,2458961.897,0.004,,,2.9,13.108,2.174,12000,2000,,,387.288,2.168,5423,141.927,4.36716,0.0859812,1.05201,0.0560955,PHT,7.77,5.6,9.65,10440.00874,12.27
436873727,436873727,,7.1323,0.006,42.558202,25.333533,61.564,0.099,-19.888,0.089,2458803.84,0.02,0,,5.5,2.718,0.543,2500,500,9,2,86.3501,0.4789,6798.41,109.031,4.11412,0.083698,1.75449,0.0650955,PHT,19.26,5.95,6.73,2751.941754,10.02
441642457,441642457,2073.01,9.45253,0.006,209.882326,58.93291,-82.55,0.041,-23.795,0.042,2458745.51,,0,,5,1.086,0.543,1000,500,,,123.946,0.3855,5729,120.914,4.32178,0.0737775,1.15632,0.0541909,PHT,79.8072,0.0071,0.0076,649.8254732,3.55
441765914,441765914,2088.01,10.8812,0.006,261.374894,75.88228,-18.935,0.044,-1.971,0.055,2458769.6,,0,,7,2.174,0.543,2000,500,3.5,1,126.46,0.359,4902,123.229,4.5026,0.089012,0.831423,0.0533367,PHT,161.6,58.2,1460.1,2011.309109,3.6
452920657,452920657,,12.6973,0.007,8.334322,59.109923,22.964,0.025,16.086,0.025,2458810.57,0.01,0,,4.5,21.935,5.442,20000,5000,9,1,153.244,0.444,3907,157,4.59828,0.0118829,0.663933,0.0196111,PHT,53.2,29,34.3,18231.04583,9.71
455737331,455737331,,9.51477,0.006,357.351836,36.900456,112.827,0.06,-77.66,0.04,2458780.7,,0,,7,0.109,0.054,100,50,,,121.523,0.7205,5848,171.157,4.38886,0.0812249,1.08752,0.0516935,PHT,50.4,17.6,75,752.4824551,3.05
456909420,456909420,,10.3588,0.006,26.559097,18.695329,27.029,0.07,-4.27,0.071,2458779.411,0.005,,,,3.48,0.217,3200,200,,,147.959,0.8315,5265,125.757,4.3283,0.0851962,1.07767,0.0623794,PHT,5.78,5.29,5.95,2560.95947,9.15
458451774,458451774,,11.521,0.007,193.823807,44.52348,-158.153,0.037,-100.615,0.045,2458917.19,0.01,0,,2.5,6.534,0.543,6000,500,,,39.2687,0.0629,3476,157,4.82238,0.00375002,0.404667,0.0121108,PHT,12.39,6.34,83.97,6143.375467,3.33
48018596,48018596.01,2295.01,9.00772,0.006,281.576196,50.492466,-61.841,0.049,26.834,0.045,2458713.46,0.01,0,0,4.8,1.63,0.543,1500,500,5,1,126.279,0.395,5660,124.128,4.10485,0.0742244,1.47127,0.0724272,PHT,100.1145,0.0018,0.0021,1763.586815,7.88
53309262,53309262.01,,14.128,0.007,116.975483,57.698454,26.247,0.094,-26.644,0.078,2458863.1,0.1,0,,6.5,21.935,5.442,20000,5000,5,1,122.694,1.05,3373,157,4.82922,0.00369224,0.397211,0.012198,PHT,294.8,96,327,17525.30006,5.38
